CODE_GENDER;FLAG_OWN_CAR;FLAG_OWN_REALTY;FLAG_WORK_PHONE;FLAG_PHONE;FLAG_EMAIL;opentime;y;less_factor_edu_Academic.degree;less_factor_edu_Incomplete.higher;less_factor_edu_Lower.secondary;less_factor_edu_Secondary...secondary.special;less_factor_house_House...apartment;less_factor_house_Municipal.apartment;less_factor_house_Office.apartment;less_factor_house_Rented.apartment;less_factor_house_With.parents;less_factor_income_Commercial.associate;less_factor_income_State.servant;less_factor_income_Working;less_factor_status_Civil.marriage;less_factor_status_Married;less_factor_status_Separated;less_factor_status_Single...not.married;less_factor_status_Widow;less_factor_work_Labor;less_factor_work_Office;less_factor_work_higher;CNT_CHILDREN_woe;AMT_INCOME_TOTAL_woe;DAYS_BIRTH_woe;DAYS_EMPLOYED_woe;CNT_FAM_MEMBERS_woe
2;2;2;0;0;0;-29;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0; 0,022243446;-0,276168616;-0,1382294;-0,10214813;-0,02502654
1;1;2;0;1;1; -4;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0; 0,022243446; 0,100502009;-0,1382294; 0,20992860; 0,16302846
1;1;2;0;1;1;-26;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0; 0,022243446; 0,100502009;-0,1382294; 0,20992860; 0,16302846
1;1;2;0;1;1;-26;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0; 0,022243446; 0,100502009;-0,1382294; 0,20992860; 0,16302846
1;1;2;0;1;1;-38;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0; 0,022243446; 0,100502009;-0,1382294; 0,20992860; 0,16302846
2;2;2;1;1;1; -5;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0; 0,022243446; 0,100502009;-0,1801923; 0,25820464;-0,02502654
2;2;2;1;1;1;-42;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0; 0,022243446; 0,100502009;-0,1801923; 0,25820464;-0,02502654
2;2;2;0;0;0;-17;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0; 0,022243446; 0,001012166; 0,3323693;-0,10214813;-0,02502654
2;2;2;0;0;0;-16;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0; 0,022243446; 0,001012166; 0,3323693;-0,10214813;-0,02502654
2;2;2;0;0;0; -8;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0; 0,022243446; 0,001012166; 0,3323693;-0,10214813;-0,02502654
