CODE_GENDER;FLAG_OWN_CAR;FLAG_OWN_REALTY;CNT_CHILDREN;AMT_INCOME_TOTAL;NAME_INCOME_TYPE;NAME_EDUCATION_TYPE;NAME_FAMILY_STATUS;NAME_HOUSING_TYPE;DAYS_BIRTH;DAYS_EMPLOYED;FLAG_WORK_PHONE;FLAG_PHONE;FLAG_EMAIL;OCCUPATION_TYPE;CNT_FAM_MEMBERS;opentime;y
M;Y;Y; 0; 112500,0;Working;Secondary / secondary special;Married;House / apartment;-21474; -1134;0;0;0;Security staff; 2;-29;0
F;N;Y; 0; 270000,0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;-19110; -3051;0;1;1;Sales staff; 1; -4;0
F;N;Y; 0; 270000,0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;-19110; -3051;0;1;1;Sales staff; 1;-26;0
F;N;Y; 0; 270000,0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;-19110; -3051;0;1;1;Sales staff; 1;-26;0
F;N;Y; 0; 270000,0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;-19110; -3051;0;1;1;Sales staff; 1;-38;0
M;Y;Y; 0; 270000,0;Working;Higher education;Married;House / apartment;-16872;  -769;1;1;1;Accountants; 2; -5;0
M;Y;Y; 0; 270000,0;Working;Higher education;Married;House / apartment;-16872;  -769;1;1;1;Accountants; 2;-42;0
M;Y;Y; 0; 135000,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-17778; -1194;0;0;0;Laborers; 2;-17;0
M;Y;Y; 0; 135000,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-17778; -1194;0;0;0;Laborers; 2;-16;0
M;Y;Y; 0; 135000,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-17778; -1194;0;0;0;Laborers; 2; -8;0
M;Y;Y; 0; 135000,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-17778; -1194;0;0;0;Laborers; 2;-22;0
M;Y;Y; 0; 135000,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-17778; -1194;0;0;0;Laborers; 2; -7;0
M;Y;Y; 0; 135000,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-17778; -1194;0;0;0;Laborers; 2; -3;0
F;Y;N; 0; 130500,0;Working;Incomplete higher;Married;House / apartment;-10669; -1103;0;0;0;Accountants; 2;-25;0
F;Y;N; 0; 130500,0;Working;Incomplete higher;Married;House / apartment;-10669; -1103;0;0;0;Accountants; 2;-30;0
F;N;Y; 0; 157500,0;Working;Secondary / secondary special;Married;House / apartment;-10031; -1469;0;1;0;Laborers; 2;-31;0
F;N;Y; 0; 157500,0;Working;Secondary / secondary special;Married;House / apartment;-10031; -1469;0;1;0;Laborers; 2;-19;0
F;N;Y; 0; 157500,0;Working;Secondary / secondary special;Married;House / apartment;-10031; -1469;0;1;0;Laborers; 2;-34;0
M;Y;Y; 3; 270000,0;Working;Secondary / secondary special;Married;House / apartment;-12689; -1163;0;0;0;Laborers; 5;-24;0
M;Y;Y; 3; 270000,0;Working;Secondary / secondary special;Married;House / apartment;-12689; -1163;0;0;0;Laborers; 5;-18;0
M;N;Y; 1; 405000,0;Commercial associate;Higher education;Married;House / apartment;-11842; -2016;0;0;0;Managers; 3;-39;0
M;N;Y; 1; 405000,0;Commercial associate;Higher education;Married;House / apartment;-11842; -2016;0;0;0;Managers; 3;-13;0
M;N;Y; 1; 405000,0;Commercial associate;Higher education;Married;House / apartment;-11842; -2016;0;0;0;Managers; 3;-55;0
M;N;Y; 1; 405000,0;Commercial associate;Higher education;Married;House / apartment;-11842; -2016;0;0;0;Managers; 3; -4;0
M;N;Y; 1; 405000,0;Commercial associate;Higher education;Married;House / apartment;-11842; -2016;0;0;0;Managers; 3; -8;0
M;N;Y; 1; 405000,0;Commercial associate;Higher education;Married;House / apartment;-11842; -2016;0;0;0;Managers; 3;-29;0
M;Y;Y; 0; 112500,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-20502; -4450;0;1;0;Drivers; 2;-43;0
M;Y;Y; 0; 112500,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-20502; -4450;0;1;0;Drivers; 2;-11;0
M;Y;Y; 0; 112500,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-20502; -4450;0;1;0;Drivers; 2;-46;0
M;Y;Y; 0; 112500,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-20502; -4450;0;1;0;Drivers; 2;-51;0
M;Y;Y; 0; 112500,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-20502; -4450;0;1;0;Drivers; 2;-25;0
M;Y;Y; 0; 112500,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-20502; -4450;0;1;0;Drivers; 2;-11;0
M;Y;Y; 0; 112500,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-20502; -4450;0;1;0;Drivers; 2;  0;0
M;Y;Y; 0; 112500,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-20502; -4450;0;1;0;Drivers; 2;-39;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4;-39;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4;-28;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4; -3;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4;-27;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4;-10;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4; -4;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4; -3;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4; -3;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4; -2;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4; -2;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4; -2;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4; -8;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4;-19;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4;-25;0
F;Y;Y; 2; 135000,0;Working;Secondary / secondary special;Married;House / apartment;-15761; -3173;0;0;0;Laborers; 4;-18;0
F;N;Y; 1; 211500,0;State servant;Secondary / secondary special;Civil marriage;House / apartment;-16212; -7099;0;0;0;Core staff; 3;-24;0
F;N;Y; 1; 211500,0;State servant;Secondary / secondary special;Civil marriage;House / apartment;-16212; -7099;0;0;0;Core staff; 3;-20;0
M;Y;Y; 0; 360000,0;Commercial associate;Secondary / secondary special;Married;House / apartment;-16670; -5364;0;1;0;Security staff; 2;-10;0
F;N;Y; 2; 126000,0;Commercial associate;Higher education;Married;House / apartment;-12411; -1773;0;0;1;Managers; 4;-21;0
F;N;Y; 2; 126000,0;Commercial associate;Higher education;Married;House / apartment;-12411; -1773;0;0;1;Managers; 4;-45;0
F;N;Y; 2; 126000,0;Commercial associate;Higher education;Married;House / apartment;-12411; -1773;0;0;1;Managers; 4;-39;0
F;N;Y; 2; 126000,0;Commercial associate;Higher education;Married;House / apartment;-12411; -1773;0;0;1;Managers; 4;-43;0
F;N;Y; 2; 126000,0;Commercial associate;Higher education;Married;House / apartment;-12411; -1773;0;0;1;Managers; 4; -7;0
F;N;Y; 2; 126000,0;Commercial associate;Higher education;Married;House / apartment;-12411; -1773;0;0;1;Managers; 4;-43;0
F;N;Y; 2; 126000,0;Commercial associate;Higher education;Married;House / apartment;-12411; -1773;0;0;1;Managers; 4;-21;0
F;N;Y; 2; 126000,0;Commercial associate;Higher education;Married;House / apartment;-12411; -1773;0;0;1;Managers; 4;-10;0
F;N;Y; 2; 126000,0;Commercial associate;Higher education;Married;House / apartment;-12411; -1773;0;0;1;Managers; 4;-19;0
F;N;Y; 2; 126000,0;Commercial associate;Higher education;Married;House / apartment;-12411; -1773;0;0;1;Managers; 4;-45;0
F;N;Y; 0; 247500,0;Commercial associate;Higher education;Separated;Rented apartment;-17016; -1347;0;0;0;Core staff; 1;-11;0
F;N;Y; 0; 247500,0;Commercial associate;Higher education;Separated;Rented apartment;-17016; -1347;0;0;0;Core staff; 1; -4;0
F;N;Y; 0; 247500,0;Commercial associate;Higher education;Separated;Rented apartment;-17016; -1347;0;0;0;Core staff; 1;-48;0
F;N;Y; 0; 247500,0;Commercial associate;Higher education;Separated;Rented apartment;-17016; -1347;0;0;0;Core staff; 1;-25;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1; -7;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-37;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-36;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-36;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-34;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-34;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-32;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-31;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-30;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-29;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-27;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-27;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-27;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-26;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-25;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-24;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-23;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-22;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-22;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-21;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-21;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-20;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-19;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-18;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-18;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-17;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-17;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-16;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-15;0
F;N;Y; 0; 297000,0;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;-15519; -3234;0;0;0;Laborers; 1;-15;0
